"tx","bd","acc_g"
5,1,33.3333333333333
10,1,58.3333333333333
15,1,91.6666666666667
20,1,91.6666666666667
25,1,91.6666666666667
5,2,50.6172839506173
10,2,56.7901234567901
15,2,65.4320987654321
20,2,64.1975308641975
25,2,69.1358024691358
5,3,69.1358024691358
10,3,69.1358024691358
15,3,69.1358024691358
20,3,69.1358024691358
25,3,69.1358024691358
5,4,69.1358024691358
10,4,69.1358024691358
15,4,69.1358024691358
20,4,69.1358024691358
25,4,69.1358024691358
5,5,69.1358024691358
10,5,69.1358024691358
15,5,69.1358024691358
20,5,69.1358024691358
25,5,69.1358024691358
5,6,69.1358024691358
10,6,69.1358024691358
15,6,69.1358024691358
20,6,69.1358024691358
25,6,69.1358024691358
